ID,Date,Time,Title,Category,Amount,Shop,Description,"Created By","Created At"
20,2025-12-07,23:03:22,aaa,employee_borrowed,500.00,"Elegant Salon - Downtown",aaa,"Owner Admin","2025-12-07 23:03:22"
7,2025-12-07,10:00:00,"Electricity Bill",electricity,3200.00,"Elegant Salon - Downtown","Today electricity payment","Manager Downtown","2025-12-07 00:57:33"
13,2025-12-05,11:00:00,"Marketing Materials",misc,3000.00,"Elegant Salon - Westside","Flyers and banners","Manager Westside","2025-12-07 00:57:33"
6,2025-12-04,15:00:00,"Equipment Repair",misc,2500.00,"Elegant Salon - Downtown","Hair dryer repair","Manager Downtown","2025-12-07 00:57:33"
19,2025-12-03,10:00:00,"Office Supplies",misc,1500.00,"Elegant Salon - Eastend",Stationery,"Manager Eastend","2025-12-07 00:57:33"
5,2025-12-02,10:30:00,"Cleaning Supplies",misc,1200.00,"Elegant Salon - Downtown","Cleaning materials","Manager Downtown","2025-12-07 00:57:33"
12,2025-12-01,16:00:00,"Furniture Purchase",misc,12000.00,"Elegant Salon - Westside","New chairs","Manager Westside","2025-12-07 00:57:33"
18,2025-11-30,15:30:00,"AC Maintenance",misc,4500.00,"Elegant Salon - Eastend","AC servicing","Manager Eastend","2025-12-07 00:57:33"
11,2025-11-29,13:00:00,"Staff Advance",employee_borrowed,4000.00,"Elegant Salon - Westside","Advance to Deepak","Manager Westside","2025-12-07 00:57:33"
4,2025-11-27,14:00:00,"Staff Advance",employee_borrowed,5000.00,"Elegant Salon - Downtown","Advance to Rajesh","Manager Downtown","2025-12-07 00:57:33"
17,2025-11-25,14:30:00,"Staff Advance",employee_borrowed,6000.00,"Elegant Salon - Eastend","Advance to Manoj","Manager Eastend","2025-12-07 00:57:33"
10,2025-11-23,09:00:00,"Rent Payment",rent,14000.00,"Elegant Salon - Westside","Monthly rent","Manager Westside","2025-12-07 00:57:33"
3,2025-11-22,09:00:00,"Rent Payment",rent,15000.00,"Elegant Salon - Downtown","Monthly rent","Manager Downtown","2025-12-07 00:57:33"
16,2025-11-21,09:00:00,"Rent Payment",rent,16000.00,"Elegant Salon - Eastend","Monthly rent","Manager Eastend","2025-12-07 00:57:33"
9,2025-11-19,11:00:00,"Salon Products",materials,7500.00,"Elegant Salon - Westside","Hair products stock","Manager Westside","2025-12-07 00:57:33"
15,2025-11-18,12:00:00,"Salon Products",materials,9000.00,"Elegant Salon - Eastend","Premium hair products","Manager Eastend","2025-12-07 00:57:33"
2,2025-11-17,11:30:00,"Salon Products",materials,8000.00,"Elegant Salon - Downtown","Shampoo, conditioner, colors","Manager Downtown","2025-12-07 00:57:33"
8,2025-11-13,10:00:00,"Electricity Bill",electricity,3200.00,"Elegant Salon - Westside","Monthly electricity bill","Manager Westside","2025-12-07 00:57:33"
1,2025-11-12,10:00:00,"Electricity Bill",electricity,3500.00,"Elegant Salon - Downtown","Monthly electricity bill","Manager Downtown","2025-12-07 00:57:33"
14,2025-11-11,10:00:00,"Electricity Bill",electricity,3400.00,"Elegant Salon - Eastend","Monthly electricity bill","Manager Eastend","2025-12-07 00:57:33"
